,x
1,x 1
2,x 2
5,x 3
6,x 4
7,z781
8,x 5
9,z319
10,x 6
11,x 7
12,z808
13,x 8
14,x 9
15,z131
16,z765
17,x 11
18,x 10
19,x 12
20,x 13
21,x 14
22,x 15
23,x 16
24,x 17
25,x 18
26,z133
27,x 19
28,x 20
29,x 23
30,x 21
31,x 22
32,x 24
33,x 25
34,x 26
35,x 27
37,x 28
38,x 30
39,x 29
40,x 31
41,x 32
42,x 33
43,x 34
44,x 35
45,z108
46,x 36
47,x 37
48,x 40
49,x 39
50,x 41
51,x 38
52,x 42
53,x 43
54,x 44
55,x 45
56,z853
57,x 46
58,x 47
59,x 50
60,x 48
61,x 49
62,z855
63,x 51
64,x 52
65,z861
66,z860
67,z871
68,x 53
69,x 57
70,x 55
71,x 54
72,x 56
73,x 58
74,x 59
75,xx 1
76,xx 2
77,xx 3
78,xx 4
79,xx 5
80,xx 7
81,xx 6
82,xx 8
83,xx 9
84,xx 10
85,xx 11
86,xx 12
87,xx 13
88,xx 14
89,xx 15
